기준시간,광역시도,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
2020-05-18,충남,0,144,0,140,4,0,0,6.78
2020-05-18,충북,0,59,3,43,16,2,1,3.69
2020-05-18,강원,2,55,0,46,7,0,0,3.57
2020-05-18,경기,16,724,3,600,108,2,1,5.46
2020-05-18,세종,0,47,0,47,0,0,0,13.73
2020-05-18,울산,1,45,0,41,3,0,0,3.92
2020-05-18,대전,1,44,0,39,4,0,0,2.98
2020-05-18,광주,0,30,0,30,0,0,0,2.06
2020-05-18,인천,0,124,0,86,38,0,0,4.19
2020-05-18,대구,182,6871,1,6376,313,1,0,282
2020-05-18,부산,3,144,0,130,11,0,0,4.22
2020-05-18,서울,4,736,1,579,153,0,1,7.56
2020-05-18,합계,263,11065,15,9904,898,5,10,21.34
2020-05-17,검역,0,494,4,329,165,0,4,-
2020-05-17,제주,0,14,0,11,3,0,0,2.09
2020-05-17,경남,0,121,2,116,5,0,2,3.6
2020-05-17,경북,54,1368,0,1254,60,0,0,51.38
2020-05-17,전남,0,18,0,13,5,0,0,0.97
2020-05-17,전북,0,20,0,16,4,0,0,1.1
2020-05-17,충남,0,144,0,140,4,0,0,6.78
2020-05-17,충북,0,56,0,43,13,0,0,3.5
2020-05-17,강원,2,55,0,45,8,0,0,3.57
2020-05-17,경기,16,721,0,598,107,0,0,5.44
2020-05-17,세종,0,47,0,47,0,0,0,13.73
2020-05-17,울산,1,45,0,41,3,0,0,3.92
2020-05-17,대전,1,44,1,39,4,1,0,2.98
2020-05-17,광주,0,30,0,30,0,0,0,2.06
2020-05-17,인천,0,124,0,85,39,0,0,4.19
2020-05-17,대구,181,6870,1,6376,313,1,0,281.96
2020-05-17,부산,3,144,0,130,11,0,0,4.22
2020-05-17,서울,4,735,5,575,156,4,1,7.55
2020-05-17,합계,262,11050,13,9888,900,6,7,21.31
2020-05-16,검역,0,490,8,316,174,0,8,-
2020-05-16,제주,0,14,0,11,3,0,0,2.09
2020-05-16,경남,0,119,0,116,3,0,0,3.54
2020-05-16,경북,54,1368,0,1253,61,0,0,51.38
2020-05-16,전남,0,18,0,13,5,0,0,0.97
2020-05-16,전북,0,20,0,16,4,0,0,1.10
2020-05-16,충남,0,144,0,139,5,0,0,6.78
2020-05-16,충북,0,56,1,43,13,1,0,3.50
2020-05-16,강원,2,55,0,45,8,0,0,3.57
2020-05-16,경기,16,721,4,587,118,2,2,5.44
2020-05-16,세종,0,47,0,47,0,0,0,13.73
2020-05-16,울산,1,45,0,40,4,0,0,3.92
2020-05-16,대전,1,43,0,39,3,0,0,2.92
2020-05-16,광주,0,30,0,30,0,0,0,2.06
2020-05-16,인천,0,124,0,85,39,0,0,4.19
2020-05-16,대구,181,6869,1,6367,321,1,0,281.92
2020-05-16,부산,3,114,0,130,11,0,0,4.22
2020-05-16,서울,4,730,5,574,152,5,0,7.50
2020-05-16,합계,262,11037,19,9851,924,9,10,21.29
2020-05-15,검역,0,482,1,311,171,0,1,-
2020-05-15,제주,0,14,0,12,2,0,0,2.09
2020-05-15,경남,0,119,0,115,4,0,0,3.54
2020-05-15,경북,54,1368,0,1245,69,0,0,51.38
2020-05-15,전남,0,18,1,13,5,0,1,0.97
2020-05-15,전북,0,20,0,14,6,0,0,1.1
2020-05-15,충남,0,144,0,139,5,0,0,6.78
2020-05-15,충북,0,55,0,43,12,0,0,3.44
2020-05-15,강원,2,55,0,44,9,0,0,3.57
2020-05-15,경기,16,717,3,583,118,1,2,5.41
2020-05-15,세종,0,47,0,47,0,0,0,13.73
2020-05-15,울산,1,45,0,39,5,0,0,3.92
2020-05-15,대전,1,43,0,39,3,0,0,2.92
2020-05-15,광주,0,30,0,30,0,0,0,2.06
2020-05-15,인천,0,124,5,85,39,4,1,4.19
2020-05-15,대구,179,6868,3,6366,323,3,0,281.88
2020-05-15,부산,3,144,0,127,14,0,0,4.22
2020-05-15,서울,4,725,14,569,152,14,0,7.45
2020-05-15,합계,260,11018,27,9821,937,22,5,21.25
2020-05-14,검역,0,481,0,290,191,0,0,-
2020-05-14,제주,0,14,0,12,2,0,0,2.09
2020-05-14,경남,0,119,0,114,5,0,0,3.54
2020-05-14,경북,54,1368,1,1237,77,0,1,51.38
2020-05-14,전남,0,17,1,13,4,0,1,0.91
2020-05-14,전북,0,20,0,14,6,0,0,1.10
2020-05-14,충남,0,144,1,138,6,1,0,6.78
2020-05-14,충북,0,55,3,43,12,3,0,3.44
2020-05-14,강원,2,55,1,43,10,1,0,3.57
2020-05-14,경기,16,714,6,577,121,6,0,5.39
2020-05-14,세종,0,47,0,46,1,0,0,13.73
2020-05-14,울산,1,45,0,41,3,0,0,3.92
2020-05-14,대전,1,43,0,39,3,0,0,2.92
2020-05-14,광주,0,30,0,30,0,0,0,2.06
2020-05-14,인천,0,119,12,85,34,12,0,4.03
2020-05-14,대구,179,6865,0,6349,337,0,0,281.76
2020-05-14,부산,3,144,0,127,14,0,0,4.22
2020-05-14,서울,4,711,4,564,143,3,1,7.30
2020-05-14,합계,260,10991,29,9762,969,26,3,21.20
2020-05-13,검역,0,481,1,280,201,0,1,-
2020-05-13,제주,0,14,0,12,2,0,0,2.09
2020-05-13,경남,0,119,1,113,6,1,0,3.54
2020-05-13,경북,54,1367,0,1231,82,0,0,51.34
2020-05-13,전남,0,16,0,12,4,0,0,0.86
2020-05-13,전북,0,20,1,14,6,1,0,1.1
