구분,확진자,확진률,사망자,사망률,치명률,등록일자
50-59,2014,17.75,15,5.58,0.74,2020-05-28
60-69,1392,12.27,39,14.5,2.8,2020-05-28
70-79,724,6.38,79,29.37,10.91,2020-05-28
80 이상,492,4.34,131,48.7,26.63,2020-05-28
여성,6617,58.33,127,47.21,1.92,2020-05-28
남성,4727,41.67,142,52.79,3.0,2020-05-28
0-9,153,1.36,0,0.0,0.0,2020-05-27
10-19,640,5.68,0,0.0,0.0,2020-05-27
20-29,3131,27.79,0,0.0,0.0,2020-05-27
30-39,1248,11.08,2,0.74,0.16,2020-05-27
40-49,1489,13.22,3,1.12,0.2,2020-05-27
50-59,2002,17.77,15,5.58,0.75,2020-05-27
60-69,1386,12.3,39,14.5,2.81,2020-05-27
70-79,724,6.43,79,29.37,10.91,2020-05-27
80 이상,492,4.37,131,48.7,26.63,2020-05-27
여성,6585,58.46,127,47.21,1.93,2020-05-27
남성,4680,41.54,142,52.79,3.03,2020-05-27
0-9,150,1.34,0,0.0,0.0,2020-05-26
10-19,638,5.68,0,0.0,0.0,2020-05-26
20-29,3123,27.82,0,0.0,0.0,2020-05-26
30-39,1242,11.06,2,0.74,0.16,2020-05-26
40-49,1486,13.24,3,1.12,0.2,2020-05-26
50-59,1996,17.78,15,5.58,0.75,2020-05-26
60-69,1378,12.28,39,14.5,2.83,2020-05-26
70-79,721,6.42,79,29.37,10.96,2020-05-26
80 이상,491,4.37,131,48.7,26.68,2020-05-26
여성,6561,58.45,127,47.21,1.94,2020-05-26
남성,4664,41.55,142,52.79,3.04,2020-05-26
0-9,149,1.33,0,0.0,0.0,2020-05-25
10-19,637,5.68,0,0.0,0.0,2020-05-25
20-29,3120,27.84,0,0.0,0.0,2020-05-25
30-39,1238,11.05,2,0.75,0.16,2020-05-25
40-49,1483,13.23,3,1.12,0.2,2020-05-25
50-59,1992,17.78,15,5.62,0.75,2020-05-25
60-69,1377,12.29,39,14.61,2.83,2020-05-25
70-79,719,6.42,79,29.59,10.99,2020-05-25
80 이상,491,4.38,129,48.31,26.27,2020-05-25
여성,6555,58.5,126,47.19,1.92,2020-05-25
남성,4651,41.5,141,52.81,3.03,2020-05-25
0-9,149,1.33,0,0.0,0.0,2020-05-24
10-19,636,5.68,0,0.0,0.0,2020-05-24
20-29,3117,27.86,0,0.0,0.0,2020-05-24
30-39,1235,11.04,2,0.75,0.16,2020-05-24
40-49,1481,13.24,3,1.13,0.2,2020-05-24
50-59,1987,17.76,15,5.64,0.75,2020-05-24
60-69,1375,12.29,39,14.66,2.84,2020-05-24
70-79,719,6.43,78,29.32,10.85,2020-05-24
80 이상,491,4.39,129,48.5,26.27,2020-05-24
여성,6547,58.51,126,47.37,1.92,2020-05-24
남성,4643,41.49,140,52.63,3.02,2020-05-24
0-9,149,1.33,0,0.0,0.0,2020-05-23
10-19,634,5.68,0,0.0,0.0,2020-05-23
20-29,3113,27.88,0,0.0,0.0,2020-05-23
30-39,1231,11.03,2,0.75,0.16,2020-05-23
40-49,1474,13.2,3,1.13,0.2,2020-05-23
50-59,1983,17.76,15,5.64,0.76,2020-05-23
60-69,1372,12.29,39,14.66,2.84,2020-05-23
70-79,718,6.43,78,29.32,10.86,2020-05-23
80 이상,491,4.4,129,48.5,26.27,2020-05-23
여성,6537,58.55,126,47.37,1.93,2020-05-23
남성,4628,41.45,140,52.63,3.03,2020-05-23
0-9,148,1.33,0,0.0,0.0,2020-05-21
10-19,631,5.67,0,0.0,0.0,2020-05-21
20-29,3103,27.9,0,0.0,0.0,2020-05-21
30-39,1221,10.98,2,0.76,0.16,2020-05-21
40-49,1471,13.23,3,1.14,0.2,2020-05-21
50-59,1972,17.73,15,5.68,0.76,2020-05-21
60-69,1369,12.31,38,14.39,2.78,2020-05-21
70-79,717,6.45,78,29.55,10.88,2020-05-21
80 이상,490,4.41,128,48.48,26.12,2020-05-21
여성,6521,58.63,126,47.73,1.93,2020-05-21
남성,4601,41.37,138,52.27,3.0,2020-05-21
0-9,148,1.33,0,0.0,0.0,2020-05-20
10-19,627,5.64,0,0.0,0.0,2020-05-20
20-29,3100,27.9,0,0.0,0.0,2020-05-20
30-39,1219,10.97,2,0.76,0.16,2020-05-20
40-49,1468,13.21,3,1.14,0.2,2020-05-20
50-59,1972,17.75,15,5.7,0.76,2020-05-20
60-69,1369,12.32,38,14.45,2.78,2020-05-20
70-79,717,6.45,78,29.66,10.88,2020-05-20
80 이상,490,4.41,127,48.29,25.92,2020-05-20
여성,6518,58.67,126,47.91,1.93,2020-05-20
남성,4592,41.33,137,52.09,2.98,2020-05-20
0-9,148,1.34,0,0.0,0.0,2020-05-19
10-19,621,5.61,0,0.0,0.0,2020-05-19
20-29,3087,27.87,0,0.0,0.0,2020-05-19
30-39,1215,10.97,2,0.76,0.16,2020-05-19
40-49,1462,13.2,3,1.14,0.21,2020-05-19
50-59,1971,17.79,15,5.7,0.76,2020-05-19
60-69,1368,12.35,38,14.45,2.78,2020-05-19
70-79,716,6.46,78,29.66,10.89,2020-05-19
80 이상,490,4.42,127,48.29,25.92,2020-05-19
여성,6509,58.76,126,47.91,1.94,2020-05-19
남성,4569,41.24,137,52.09,3.0,2020-05-19
0-9,147,1.33,0,0.0,0.0,2020-05-18
10-19,621,5.61,0,0.0,0.0,2020-05-18
20-29,3082,27.85,0,0.0,0.0,2020-05-18
30-39,1215,10.98,2,0.76,0.16,2020-05-18
40-49,1462,13.21,3,1.14,0.21,2020-05-18
50-59,1968,17.79,15,5.7,0.76,2020-05-18
60-69,1365,12.34,38,14.45,2.78,2020-05-18
70-79,715,6.46,78,29.66,10.91,2020-05-18
80 이상,490,4.43,127,48.29,25.92,2020-05-18
여성,6505,58.79,126,47.91,1.94,2020-05-18
남성,4560,41.21,137,52.09,3.0,2020-05-18
0-9,147,1.33,0,0.0,0.0,2020-05-17
10-19,620,5.61,0,0.0,0.0,2020-05-17
20-29,3079,27.86,0,0.0,0.0,2020-05-17
30-39,1211,10.96,2,0.76,0.17,2020-05-17
40-49,1457,13.19,3,1.15,0.21,2020-05-17
50-59,1967,17.8,15,5.73,0.76,2020-05-17
60-69,1364,12.34,38,14.5,2.79,2020-05-17
70-79,715,6.47,77,29.39,10.77,2020-05-17
80 이상,490,4.43,127,48.47,25.92,2020-05-17
여성,6501,58.83,126,48.09,1.94,2020-05-17
남성,4549,41.17,136,51.91,2.99,2020-05-17
0-9,147,1.33,0,0.0,0.0,2020-05-16
10-19,619,5.61,0,0.0,0.0,2020-05-16
20-29,3074,27.85,0,0.0,0.0,2020-05-16
30-39,1209,10.95,2,0.76,0.17,2020-05-16
40-49,1454,13.17,3,1.15,0.21,2020-05-16
50-59,1966,17.81,15,5.73,0.76,2020-05-16
60-69,1364,12.36,38,14.5,2.79,2020-05-16
70-79,714,6.47,77,29.39,10.78,2020-05-16
80 이상,490,4.44,127,48.47,25.92,2020-05-16
여성,6493,58.83,126,48.09,1.94,2020-05-16
남성,4544,41.17,136,51.91,2.99,2020-05-16
0-9,145,1.32,0,0.0,0.0,2020-05-15
10-19,617,5.6,0,0.0,0.0,2020-05-15
20-29,3066,27.83,0,0.0,0.0,2020-05-15
30-39,1207,10.95,2,0.77,0.17,2020-05-15
40-49,1453,13.19,3,1.15,0.21,2020-05-15
50-59,1965,17.83,15,5.77,0.76,2020-05-15
60-69,1361,12.35,38,14.62,2.79,2020-05-15
70-79,714,6.48,77,29.62,10.78,2020-05-15
80 이상,490,4.45,125,48.08,25.51,2020-05-15
여성,6486,58.87,125,48.08,1.93,2020-05-15
남성,4532,41.13,135,51.92,2.98,2020-05-15
0-9,143,1.3,0,0.0,0.0,2020-05-14
10-19,614,5.59,0,0.0,0.0,2020-05-14
20-29,3056,27.8,0,0.0,0.0,2020-05-14
30-39,1202,10.94,2,0.77,0.17,2020-05-14
40-49,1451,13.2,3,1.15,0.21,2020-05-14
50-59,1964,17.87,15,5.77,0.76,2020-05-14
60-69,1359,12.36,38,14.62,2.8,2020-05-14
70-79,712,6.48,77,29.62,10.81,2020-05-14
80 이상,490,4.46,125,48.08,25.51,2020-05-14
여성,6475,58.91,125,48.08,1.93,2020-05-14
남성,4516,41.09,135,51.92,2.99,2020-05-14
0-9,143,1.3,0,0.0,0.0,2020-05-13
10-19,603,5.5,0,0.0,0.0,2020-05-13
20-29,3042,27.75,0,0.0,0.0,2020-05-13
30-39,1199,10.94,2,0.77,0.17,2020-05-13
40-49,1450,13.23,3,1.16,0.21,2020-05-13
50-59,1964,17.92,15,5.79,0.76,2020-05-13
60-69,1359,12.4,37,14.29,2.72,2020-05-13
70-79,712,6.5,77,29.73,10.81,2020-05-13
80 이상,490,4.47,125,48.26,25.51,2020-05-13
여성,6463,58.96,125,48.26,1.93,2020-05-13
남성,4499,41.04,134,51.74,2.98,2020-05-13
0-9,142,1.3,0,0.0,0.0,2020-05-12
10-19,602,5.5,0,0.0,0.0,2020-05-12
20-29,3029,27.7,0,0.0,0.0,2020-05-12
30-39,1194,10.92,2,0.78,0.17,2020-05-12
40-49,1448,13.24,3,1.16,0.21,2020-05-12
50-59,1963,17.95,15,5.81,0.76,2020-05-12
60-69,1358,12.42,37,14.34,2.72,2020-05-12
70-79,711,6.5,77,29.84,10.83,2020-05-12
80 이상,489,4.47,124,48.06,25.36,2020-05-12
여성,6455,59.03,125,48.45,1.94,2020-05-12
남성,4481,40.97,133,51.55,2.97,2020-05-12
0-9,141,1.29,0,0.0,0.0,2020-05-11
10-19,598,5.48,0,0.0,0.0,2020-05-11
20-29,3019,27.67,0,0.0,0.0,2020-05-11
30-39,1188,10.89,2,0.78,0.17,2020-05-11
40-49,1446,13.26,3,1.17,0.21,2020-05-11
50-59,1960,17.97,15,5.86,0.77,2020-05-11
60-69,1358,12.45,37,14.45,2.72,2020-05-11
70-79,711,6.52,77,30.08,10.83,2020-05-11
80 이상,488,4.47,122,47.66,25.0,2020-05-11
여성,6448,59.11,123,48.05,1.91,2020-05-11
남성,4461,40.89,133,51.95,2.98,2020-05-11
0-9,141,1.3,0,0.0,0.0,2020-05-10
10-19,597,5.49,0,0.0,0.0,2020-05-10
20-29,2998,27.57,0,0.0,0.0,2020-05-10
30-39,1180,10.85,2,0.78,0.17,2020-05-10
40-49,1442,13.26,3,1.17,0.21,2020-05-10
50-59,1960,18.02,15,5.86,0.77,2020-05-10
60-69,1357,12.48,37,14.45,2.73,2020-05-10
70-79,711,6.54,77,30.08,10.83,2020-05-10
80 이상,488,4.49,122,47.66,25.0,2020-05-10
여성,6444,59.26,123,48.05,1.91,2020-05-10
남성,4430,40.74,133,51.95,3.0,2020-05-10
0-9,141,1.3,0,0.0,0.0,2020-05-09
10-19,594,5.48,0,0.0,0.0,2020-05-09
20-29,2979,27.48,0,0.0,0.0,2020-05-09
30-39,1177,10.86,2,0.78,0.17,2020-05-09
40-49,1438,13.27,3,1.17,0.21,2020-05-09
50-59,1958,18.06,15,5.86,0.77,2020-05-09
60-69,1355,12.5,37,14.45,2.73,2020-05-09
70-79,710,6.55,77,30.08,10.85,2020-05-09
80 이상,488,4.5,122,47.66,25.0,2020-05-09
여성,6434,59.35,123,48.05,1.91,2020-05-09
남성,4406,40.65,133,51.95,3.02,2020-05-09
0-9,141,1.3,0,0.0,0.0,2020-05-08
10-19,592,5.47,0,0.0,0.0,2020-05-08
20-29,2967,27.42,0,0.0,0.0,2020-05-08
30-39,1174,10.85,2,0.78,0.17,2020-05-08
40-49,1438,13.29,3,1.17,0.21,2020-05-08
50-59,1957,18.08,15,5.86,0.77,2020-05-08
60-69,1355,12.52,37,14.45,2.73,2020-05-08
70-79,710,6.56,77,30.08,10.85,2020-05-08
80 이상,488,4.51,122,47.66,25.0,2020-05-08
여성,6433,59.44,123,48.05,1.91,2020-05-08
남성,4389,40.56,133,51.95,3.03,2020-05-08
0-9,140,1.3,0,0.0,0.0,2020-05-07
10-19,592,5.48,0,0.0,0.0,2020-05-07
20-29,2966,27.44,0,0.0,0.0,2020-05-07
30-39,1167,10.8,2,0.78,0.17,2020-05-07
40-49,1436,13.28,3,1.17,0.21,2020-05-07
50-59,1957,18.1,15,5.86,0.77,2020-05-07
60-69,1354,12.53,37,14.45,2.73,2020-05-07
70-79,710,6.57,77,30.08,10.85,2020-05-07
80 이상,488,4.51,122,47.66,25.0,2020-05-07
여성,6428,59.46,123,48.05,1.91,2020-05-07
남성,4382,40.54,133,51.95,3.04,2020-05-07
0-9,140,1.3,0,0.0,0.0,2020-05-06
10-19,591,5.47,0,0.0,0.0,2020-05-06
20-29,2964,27.43,0,0.0,0.0,2020-05-06
30-39,1166,10.79,2,0.78,0.17,2020-05-06
40-49,1436,13.29,3,1.18,0.21,2020-05-06
50-59,1957,18.11,15,5.88,0.77,2020-05-06
60-69,1354,12.53,36,14.12,2.66,2020-05-06
70-79,710,6.57,77,30.2,10.85,2020-05-06
80 이상,488,4.52,122,47.84,25.0,2020-05-06
여성,6427,59.48,123,48.24,1.91,2020-05-06
남성,4379,40.52,132,51.76,3.01,2020-05-06
0-9,140,1.3,0,0.0,0.0,2020-05-05
10-19,591,5.47,0,0.0,0.0,2020-05-05
20-29,2964,27.43,0,0.0,0.0,2020-05-05
30-39,1165,10.78,2,0.79,0.17,2020-05-05
40-49,1436,13.29,3,1.18,0.21,2020-05-05
50-59,1957,18.11,15,5.91,0.77,2020-05-05
60-69,1353,12.52,36,14.17,2.66,2020-05-05
70-79,710,6.57,76,29.92,10.7,2020-05-05
80 이상,488,4.52,122,48.03,25.0,2020-05-05
여성,6427,59.49,123,48.43,1.91,2020-05-05
남성,4377,40.51,131,51.57,2.99,2020-05-05
0-9,140,1.3,0,0.0,0.0,2020-05-04
10-19,591,5.47,0,0.0,0.0,2020-05-04
20-29,2964,27.44,0,0.0,0.0,2020-05-04
30-39,1164,10.78,2,0.79,0.17,2020-05-04
40-49,1435,13.29,3,1.19,0.21,2020-05-04
50-59,1956,18.11,15,5.95,0.77,2020-05-04
60-69,1353,12.53,36,14.29,2.66,2020-05-04
70-79,710,6.57,76,30.16,10.7,2020-05-04
80 이상,488,4.52,120,47.62,24.59,2020-05-04
여성,6426,59.49,121,48.02,1.88,2020-05-04
남성,4375,40.51,131,51.98,2.99,2020-05-04
0-9,140,1.3,0,0.0,0.0,2020-05-03
10-19,591,5.48,0,0.0,0.0,2020-05-03
20-29,2962,27.44,0,0.0,0.0,2020-05-03
30-39,1163,10.78,2,0.8,0.17,2020-05-03
40-49,1432,13.27,3,1.2,0.21,2020-05-03
50-59,1956,18.12,15,6.0,0.77,2020-05-03
60-69,1351,12.52,35,14.0,2.59,2020-05-03
70-79,710,6.58,75,30.0,10.56,2020-05-03
80 이상,488,4.52,120,48.0,24.59,2020-05-03
여성,6424,59.52,120,48.0,1.87,2020-05-03
남성,4369,40.48,130,52.0,2.98,2020-05-03
0-9,140,1.3,0,0.0,0.0,2020-05-02
10-19,590,5.47,0,0.0,0.0,2020-05-02
20-29,2960,27.46,0,0.0,0.0,2020-05-02
30-39,1160,10.76,2,0.8,0.17,2020-05-02
40-49,1430,13.27,3,1.2,0.21,2020-05-02
50-59,1956,18.14,15,6.0,0.77,2020-05-02
60-69,1349,12.51,35,14.0,2.59,2020-05-02
70-79,709,6.58,75,30.0,10.58,2020-05-02
80 이상,486,4.51,120,48.0,24.69,2020-05-02
여성,6418,59.54,120,48.0,1.87,2020-05-02
남성,4362,40.46,130,52.0,2.98,2020-05-02
0-9,140,1.3,0,0.0,0.0,2020-05-01
10-19,590,5.48,0,0.0,0.0,2020-05-01
20-29,2957,27.45,0,0.0,0.0,2020-05-01
30-39,1159,10.76,2,0.81,0.17,2020-05-01
40-49,1429,13.26,3,1.21,0.21,2020-05-01
50-59,1956,18.15,15,6.05,0.77,2020-05-01
60-69,1348,12.51,35,14.11,2.6,2020-05-01
70-79,709,6.58,75,30.24,10.58,2020-05-01
80 이상,486,4.51,118,47.58,24.28,2020-05-01
여성,6418,59.57,118,47.58,1.84,2020-05-01
남성,4356,40.43,130,52.42,2.98,2020-05-01
0-9,140,1.3,0,0.0,0.0,2020-04-30
10-19,590,5.48,0,0.0,0.0,2020-04-30
20-29,2952,27.42,0,0.0,0.0,2020-04-30
30-39,1158,10.76,2,0.81,0.17,2020-04-30
40-49,1427,13.26,3,1.21,0.21,2020-04-30
50-59,1956,18.17,15,6.07,0.77,2020-04-30
60-69,1348,12.52,35,14.17,2.6,2020-04-30
70-79,709,6.59,74,29.96,10.44,2020-04-30
80 이상,485,4.51,118,47.77,24.33,2020-04-30
여성,6413,59.57,117,47.37,1.82,2020-04-30
남성,4352,40.43,130,52.63,2.99,2020-04-30
0-9,140,1.3,0,0.0,0.0,2020-04-29
10-19,590,5.48,0,0.0,0.0,2020-04-29
20-29,2951,27.42,0,0.0,0.0,2020-04-29
30-39,1156,10.74,2,0.81,0.17,2020-04-29
40-49,1426,13.25,3,1.22,0.21,2020-04-29
50-59,1956,18.18,15,6.1,0.77,2020-04-29
60-69,1348,12.53,35,14.23,2.6,2020-04-29
70-79,709,6.59,73,29.67,10.3,2020-04-29
80 이상,485,4.51,118,47.97,24.33,2020-04-29
여성,6413,59.59,117,47.56,1.82,2020-04-29
남성,4348,40.41,129,52.44,2.97,2020-04-29
0-9,140,1.3,0,0.0,0.0,2020-04-28
10-19,590,5.49,0,0.0,0.0,2020-04-28
20-29,2948,27.42,0,0.0,0.0,2020-04-28
30-39,1154,10.73,2,0.82,0.17,2020-04-28
40-49,1423,13.23,3,1.23,0.21,2020-04-28
50-59,1955,18.18,15,6.15,0.77,2020-04-28
60-69,1348,12.54,35,14.34,2.6,2020-04-28
70-79,709,6.59,73,29.92,10.3,2020-04-28
80 이상,485,4.51,116,47.54,23.92,2020-04-28
여성,6408,59.6,116,47.54,1.81,2020-04-28
남성,4344,40.4,128,52.46,2.95,2020-04-28
0-9,140,1.3,0,0.0,0.0,2020-04-27
10-19,588,5.48,0,0.0,0.0,2020-04-27
20-29,2943,27.41,0,0.0,0.0,2020-04-27
30-39,1152,10.73,2,0.82,0.17,2020-04-27
40-49,1422,13.24,3,1.23,0.21,2020-04-27
50-59,1953,18.19,15,6.17,0.77,2020-04-27
60-69,1347,12.54,35,14.4,2.6,2020-04-27
70-79,708,6.59,72,29.63,10.17,2020-04-27
80 이상,485,4.52,116,47.74,23.92,2020-04-27
여성,6401,59.61,116,47.74,1.81,2020-04-27
남성,4337,40.39,127,52.26,2.93,2020-04-27
0-9,141,1.31,0,0.0,0.0,2020-04-26
10-19,586,5.46,0,0.0,0.0,2020-04-26
20-29,2940,27.4,0,0.0,0.0,2020-04-26
30-39,1147,10.69,2,0.83,0.17,2020-04-26
40-49,1421,13.25,3,1.24,0.21,2020-04-26
50-59,1953,18.2,15,6.2,0.77,2020-04-26
60-69,1347,12.56,35,14.46,2.6,2020-04-26
70-79,708,6.6,72,29.75,10.17,2020-04-26
80 이상,485,4.52,115,47.52,23.71,2020-04-26
여성,6395,59.61,115,47.52,1.8,2020-04-26
남성,4333,40.39,127,52.48,2.93,2020-04-26
0-9,139,1.3,0,0.0,0.0,2020-04-25
10-19,586,5.47,0,0.0,0.0,2020-04-25
20-29,2937,27.4,0,0.0,0.0,2020-04-25
30-39,1143,10.66,2,0.83,0.17,2020-04-25
40-49,1420,13.25,3,1.25,0.21,2020-04-25
50-59,1953,18.22,15,6.25,0.77,2020-04-25
60-69,1347,12.57,35,14.58,2.6,2020-04-25
70-79,708,6.61,71,29.58,10.03,2020-04-25
80 이상,485,4.53,114,47.5,23.51,2020-04-25
여성,6391,59.63,113,47.08,1.77,2020-04-25
남성,4327,40.37,127,52.92,2.94,2020-04-25
0-9,138,1.29,0,0.0,0.0,2020-04-24
10-19,585,5.46,0,0.0,0.0,2020-04-24
20-29,2934,27.4,0,0.0,0.0,2020-04-24
30-39,1142,10.66,2,0.83,0.18,2020-04-24
40-49,1418,13.24,3,1.25,0.21,2020-04-24
50-59,1953,18.24,15,6.25,0.77,2020-04-24
60-69,1345,12.56,35,14.58,2.6,2020-04-24
70-79,708,6.61,71,29.58,10.03,2020-04-24
80 이상,485,4.53,114,47.5,23.51,2020-04-24
여성,6385,59.63,113,47.08,1.77,2020-04-24
남성,4323,40.37,127,52.92,2.94,2020-04-24
0-9,138,1.29,0,0.0,0.0,2020-04-23
10-19,584,5.46,0,0.0,0.0,2020-04-23
20-29,2933,27.41,0,0.0,0.0,2020-04-23
30-39,1141,10.66,2,0.83,0.18,2020-04-23
40-49,1418,13.25,3,1.25,0.21,2020-04-23
50-59,1952,18.24,15,6.25,0.77,2020-04-23
60-69,1344,12.56,35,14.58,2.6,2020-04-23
70-79,708,6.62,71,29.58,10.03,2020-04-23
80 이상,484,4.52,114,47.5,23.55,2020-04-23
여성,6384,59.65,113,47.08,1.77,2020-04-23
남성,4318,40.35,127,52.92,2.94,2020-04-23
0-9,138,1.29,0,0.0,0.0,2020-04-22
10-19,583,5.45,0,0.0,0.0,2020-04-22
20-29,2931,27.41,0,0.0,0.0,2020-04-22
30-39,1140,10.66,2,0.84,0.18,2020-04-22
40-49,1417,13.25,3,1.26,0.21,2020-04-22
50-59,1951,18.24,15,6.3,0.77,2020-04-22
60-69,1344,12.57,34,14.29,2.53,2020-04-22
70-79,707,6.61,71,29.83,10.04,2020-04-22
80 이상,483,4.52,113,47.48,23.4,2020-04-22
여성,6380,59.66,112,47.06,1.76,2020-04-22
남성,4314,40.34,126,52.94,2.92,2020-04-22
0-9,138,1.29,0,0.0,0.0,2020-04-21
10-19,582,5.45,0,0.0,0.0,2020-04-21
20-29,2928,27.41,0,0.0,0.0,2020-04-21
30-39,1139,10.66,2,0.84,0.18,2020-04-21
40-49,1413,13.23,3,1.27,0.21,2020-04-21
50-59,1951,18.26,15,6.33,0.77,2020-04-21
60-69,1343,12.57,34,14.35,2.53,2020-04-21
70-79,706,6.61,70,29.54,9.92,2020-04-21
80 이상,483,4.52,113,47.68,23.4,2020-04-21
여성,6375,59.67,112,47.26,1.76,2020-04-21
남성,4308,40.33,125,52.74,2.9,2020-04-21
0-9,138,1.29,0,0.0,0.0,2020-04-20
10-19,581,5.44,0,0.0,0.0,2020-04-20
20-29,2926,27.41,0,0.0,0.0,2020-04-20
30-39,1139,10.67,2,0.85,0.18,2020-04-20
40-49,1412,13.23,3,1.27,0.21,2020-04-20
50-59,1948,18.25,15,6.36,0.77,2020-04-20
60-69,1343,12.58,34,14.41,2.53,2020-04-20
70-79,705,6.6,69,29.24,9.79,2020-04-20
80 이상,482,4.52,113,47.88,23.44,2020-04-20
여성,6372,59.7,111,47.03,1.74,2020-04-20
남성,4302,40.3,125,52.97,2.91,2020-04-20
0-9,138,1.29,0,0.0,0.0,2020-04-19
10-19,578,5.42,0,0.0,0.0,2020-04-19
20-29,2921,27.4,0,0.0,0.0,2020-04-19
30-39,1137,10.67,2,0.85,0.18,2020-04-19
40-49,1412,13.24,3,1.28,0.21,2020-04-19
50-59,1945,18.24,15,6.41,0.77,2020-04-19
60-69,1343,12.6,34,14.53,2.53,2020-04-19
70-79,705,6.61,68,29.06,9.65,2020-04-19
80 이상,482,4.52,112,47.86,23.24,2020-04-19
여성,6364,59.69,110,47.01,1.73,2020-04-19
남성,4297,40.31,124,52.99,2.89,2020-04-19
0-9,138,1.3,0,0.0,0.0,2020-04-18
10-19,576,5.41,0,0.0,0.0,2020-04-18
20-29,2918,27.39,0,0.0,0.0,2020-04-18
30-39,1136,10.66,1,0.43,0.09,2020-04-18
40-49,1412,13.25,3,1.29,0.21,2020-04-18
50-59,1944,18.25,15,6.47,0.77,2020-04-18
60-69,1343,12.61,33,14.22,2.46,2020-04-18
70-79,705,6.62,68,29.31,9.65,2020-04-18
80 이상,481,4.52,112,48.28,23.28,2020-04-18
여성,6360,59.7,108,46.55,1.7,2020-04-18
남성,4293,40.3,124,53.45,2.89,2020-04-18
0-9,136,1.28,0,0.0,0.0,2020-04-17
10-19,576,5.42,0,0.0,0.0,2020-04-17
20-29,2909,27.35,0,0.0,0.0,2020-04-17
30-39,1135,10.67,1,0.43,0.09,2020-04-17
40-49,1411,13.27,3,1.3,0.21,2020-04-17
50-59,1942,18.26,14,6.09,0.72,2020-04-17
60-69,1342,12.62,33,14.35,2.46,2020-04-17
70-79,704,6.62,68,29.57,9.66,2020-04-17
80 이상,480,4.51,111,48.26,23.13,2020-04-17
여성,6349,59.7,108,46.96,1.7,2020-04-17
남성,4286,40.3,122,53.04,2.85,2020-04-17
0-9,135,1.27,0,0.0,0.0,2020-04-16
10-19,572,5.39,0,0.0,0.0,2020-04-16
20-29,2900,27.32,0,0.0,0.0,2020-04-16
30-39,1132,10.67,1,0.44,0.09,2020-04-16
40-49,1410,13.29,3,1.31,0.21,2020-04-16
50-59,1940,18.28,14,6.11,0.72,2020-04-16
60-69,1341,12.64,33,14.41,2.46,2020-04-16
70-79,703,6.62,68,29.69,9.67,2020-04-16
80 이상,480,4.52,110,48.03,22.92,2020-04-16
여성,6341,59.75,107,46.72,1.69,2020-04-16
남성,4272,40.25,122,53.28,2.86,2020-04-16
0-9,132,1.25,0,0.0,0.0,2020-04-15
10-19,569,5.37,0,0.0,0.0,2020-04-15
20-29,2895,27.33,0,0.0,0.0,2020-04-15
30-39,1131,10.68,1,0.44,0.09,2020-04-15
40-49,1408,13.29,3,1.33,0.21,2020-04-15
50-59,1937,18.29,14,6.22,0.72,2020-04-15
60-69,1339,12.64,33,14.67,2.46,2020-04-15
70-79,702,6.63,68,30.22,9.69,2020-04-15
80 이상,478,4.51,106,47.11,22.18,2020-04-15
여성,6325,59.72,107,47.56,1.69,2020-04-15
남성,4266,40.28,118,52.44,2.77,2020-04-15
0-9,132,1.25,0,0.0,0.0,2020-04-14
10-19,565,5.35,0,0.0,0.0,2020-04-14
20-29,2886,27.32,0,0.0,0.0,2020-04-14
30-39,1126,10.66,1,0.45,0.09,2020-04-14
40-49,1405,13.3,3,1.35,0.21,2020-04-14
50-59,1935,18.32,14,6.31,0.72,2020-04-14
60-69,1338,12.67,33,14.86,2.47,2020-04-14
70-79,700,6.63,65,29.28,9.29,2020-04-14
80 이상,477,4.52,106,47.75,22.22,2020-04-14
여성,6308,59.71,106,47.75,1.68,2020-04-14
남성,4256,40.29,116,52.25,2.73,2020-04-14
0-9,132,1.25,0,0.0,0.0,2020-04-13
10-19,562,5.33,0,0.0,0.0,2020-04-13
20-29,2879,27.32,0,0.0,0.0,2020-04-13
30-39,1122,10.65,1,0.46,0.09,2020-04-13
40-49,1401,13.3,3,1.38,0.21,2020-04-13
50-59,1932,18.34,14,6.45,0.72,2020-04-13
60-69,1335,12.67,32,14.75,2.4,2020-04-13
70-79,698,6.62,64,29.49,9.17,2020-04-13
80 이상,476,4.52,103,47.47,21.64,2020-04-13
여성,6294,59.73,102,47.0,1.62,2020-04-13
남성,4243,40.27,115,53.0,2.71,2020-04-13
0-9,130,1.24,0,0.0,0.0,2020-04-12
10-19,561,5.34,0,0.0,0.0,2020-04-12
20-29,2869,27.29,0,0.0,0.0,2020-04-12
30-39,1120,10.65,1,0.47,0.09,2020-04-12
40-49,1400,13.32,3,1.4,0.21,2020-04-12
50-59,1930,18.36,14,6.54,0.73,2020-04-12
60-69,1330,12.65,31,14.49,2.33,2020-04-12
70-79,697,6.63,63,29.44,9.04,2020-04-12
80 이상,475,4.52,102,47.66,21.47,2020-04-12
여성,6283,59.77,101,47.2,1.61,2020-04-12
남성,4229,40.23,113,52.8,2.67,2020-04-12
0-9,130,1.24,0,0.0,0.0,2020-04-11
10-19,558,5.32,0,0.0,0.0,2020-04-11
20-29,2856,27.25,0,0.0,0.0,2020-04-11
30-39,1115,10.64,1,0.47,0.09,2020-04-11
40-49,1399,13.35,3,1.42,0.21,2020-04-11
50-59,1926,18.38,14,6.64,0.73,2020-04-11
