ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,맘스터치 매장수,버거지수,y,x
양주,1.0,2.0,1.0,6.0,7.0,0.3076923076923077,1.0,3.0
안동,3.0,0.0,0.0,6.0,4.0,0.3,9.0,10.0
경주,1.0,4.0,0.0,7.0,10.0,0.29411764705882354,12.0,12.0
화성,3.0,4.0,2.0,20.0,11.0,0.2903225806451613,9.0,3.0
부산 중구,1.0,0.0,1.0,4.0,3.0,0.2857142857142857,18.0,11.0
김천,1.0,1.0,0.0,4.0,3.0,0.2857142857142857,11.0,9.0
부산 사상,1.0,2.0,1.0,6.0,8.0,0.2857142857142857,18.0,9.0
인천 계양,2.0,0.0,2.0,8.0,7.0,0.26666666666666666,7.0,2.0
춘천,1.0,2.0,2.0,8.0,11.0,0.2631578947368421,1.0,9.0
양평,1.0,0.0,0.0,3.0,1.0,0.25,4.0,9.0
평창,0.0,0.0,1.0,2.0,2.0,0.25,6.0,10.0
울산 동구,1.0,1.0,1.0,5.0,8.0,0.2307692307692308,14.0,12.0
경산,4.0,0.0,1.0,8.0,14.0,0.2272727272727273,12.0,11.0
대전 유성,3.0,3.0,1.0,18.0,13.0,0.2258064516129032,15.0,4.0
광양,2.0,0.0,0.0,3.0,6.0,0.2222222222222222,21.0,5.0
대전 대덕,0.0,2.0,0.0,6.0,3.0,0.2222222222222222,13.0,5.0
제주,1.0,5.0,0.0,10.0,19.0,0.206896551724138,25.0,5.0
나주,1.0,0.0,0.0,2.0,3.0,0.2,22.0,1.0
의왕,0.0,1.0,0.0,4.0,1.0,0.2,9.0,6.0
부산 영도,0.0,1.0,0.0,2.0,3.0,0.2,20.0,10.0
진천,1.0,0.0,0.0,2.0,3.0,0.2,12.0,5.0
당진,1.0,1.0,0.0,5.0,5.0,0.2,12.0,1.0
진주,2.0,2.0,1.0,13.0,12.0,0.2,18.0,6.0
인천 서구,2.0,1.0,2.0,15.0,10.0,0.2,6.0,1.0
순천,1.0,2.0,1.0,10.0,11.0,0.19047619047619047,22.0,4.0
대구 동구,3.0,1.0,0.0,12.0,9.0,0.19047619047619047,15.0,10.0
세종,3.0,0.0,1.0,6.0,15.0,0.19047619047619047,13.0,4.0
원주,1.0,2.0,2.0,16.0,11.0,0.1851851851851852,5.0,10.0
포천,0.0,1.0,1.0,6.0,5.0,0.18181818181818185,1.0,6.0
서산,1.0,1.0,0.0,7.0,4.0,0.18181818181818185,13.0,1.0
남양주,2.0,4.0,0.0,17.0,17.0,0.17647058823529413,2.0,7.0
울산 중구,1.0,2.0,0.0,5.0,12.0,0.17647058823529413,15.0,11.0
통영,0.0,1.0,0.0,3.0,3.0,0.16666666666666666,21.0,8.0
광주 동구,1.0,0.0,0.0,4.0,2.0,0.16666666666666666,23.0,3.0
